จังหวัด,รายชื่อวัด
,วัดศรีมงคลใต้
,วัดป่าวิเวกวัฒนาราม
,วัดศรีประทุม
,วัดศรีบัวบาน
,วัดสว่างวงศ์
,วัดสุวรรณประดิษฐ
,วัดดอนสวรรค์
,วัดโนนสะอาด
,วัดภูคำผักกูด
,วัดมัชฌิมาวาส
,วัดทรายไหลแล้ง
,วัดป่าบำเพ็ญธรรม
,วัดจิตตสามัคคี
,วัดมโนศิลา
,วัดศรีบุญเรือง
,วัดขอนแก่น
,วัดศรีสุมังคล์
,วัดนามนวราราม
,วัดป่าถ้ำตาดา
,วัดศรีไครทุ่ง
,วัดโพธิ์ศรี
,วัดโมลีมงคลวนาวาส
,วัดนาหลวงอุดมธรรม
,วัดบางทรายใหญ่
,วัดเหล่าแขมทองวนาราม
,วัดหินกอง
,วัดศรีมงคลเหนือ
,วัดกกกอก
,วัดวิศิษฐ์ชยาราม
,วัดศรีโพนทอง 
,วัดโพธิ์ไทร
,วัดศรีจอมแก้ว
,วัดนิรมิตร 
,วัดป่าห้วยสิริขันธ์
,วัดอนุกชาติ
,วัดศรีทองธรรม
,วัดป่านิคมฤทธานุสรณ์
,วัดบรรพตคีรี
,วัดโพธิ์ศรีแก้ว
,วัดศรีเจริญ
,วัดศรีโพธิ์ไทร
,วัดป่าสุภัททาราม
,วัดมุจจลินทร์
,วัดสมสนุก 
,วัดมงคลโสภา
,วัดโสการาม
,วัดปทายวัน
,วัดภูหล่มขุม
,วัดสะพังทอง
,วัดศรีดาจันทร์
,วัดป่าคำสร้อย
,วัดภูหินเรือ
,วัดโสมมนัสสถาน
,วัดศรีวิชัย
,วัดเหล่าหลวง
,วัดหนองแคน
,วัดบุปผาลี
