จังหวัด,รายชื่อวัด
,วัดบ้านหม้อ
,วัดโป่งขวาก
,วัดทุ่งบอมใต้
,วัดพุทธสันติวิเวก
,วัดหาดเชี่ยว
,วัดพระบาทนาเกลือ
,วัดนาไม้แดง
,วัดต้นมื่น
,วัดบ้านเป้า
,วัดจำทรายมูล
,วัดท่าแหน
,วัดบ้านอ้อ
,วัดม่วงน้อย
,วัดสะพานหิน
,วัดศรีดอนมูลไชยสัณฐาน
,วัดจู้ดใต้
,วัดนาเดา
,วัดป่ายะ
,วัดบ้านก่อ
,วัดทุ่งฮี
,วัดแม่ไฮ
,วัดทุ่งทอง
,วัดแม่มอกดอย
,วัดหัวเสือ
,วัดศรีหลวง
,วัดพระธาตุหมื่นครื้น
,วัดผาปังกลาง
,วัดพระธาตุดอยแดง
,วัดครกขวาง
,วัดแม่ถอด
,วัดท่าใหม่
,วัดป่ารวก
,วัดแม่วะหลวง
,วัดศิลา
,วัดหลิ่งก้าน
,วัดบ้านหมาก
,วัดบอมหลวง
,วัดประตูป่อง
,วัดแม่แป้น
,วัดศรีบุญเรือง
,วัดแม่ปะดอย
,วัดบ้านแพะ
,วัดทุ่งม่านเหนือ
,วัดไผ่แพะ
,วัดบ้านเป๊าะ
,วัดนาแก้วตะวันตก
,วัดน้ำโจ้
,วัดสบม่า
,วัดเมืองตึงเหนือ
,วัดทุ่งโค้ง
,วัดบุญวาทย์นิมิต
,วัดท่าไม้
,วัดบ้านฟ่อน
,วัดฉลองราชศรัทธาราม
,วัดหนองห้า
,วัดผาดิน
,วัดไชยมงคล
,วัดแม่ตาใน
,วัดถ้ำขุมทรัพย์จามเทวี
,วัดนาบอน
,วัดพระเกิด
,วัดสบจาง
,วัดป่าตาล
,วัดนาดง
,วัดหัวฝาย
,วัดบุญยืน
,วัดบ้านผึ้ง
,วัดศรีลังกา
,วัดแม่พริกลุ่ม
,วัดแม่ปุ
,วัดปางกุ่ม
,วัดทับหมาก
,วัดสำเภา
,วัดต๋อแก้ว
,วัดดอนสัก
,วัดทุ่งสุ่ม
,วัดทุ่งห้า
,วัดประตูเหล็ก
,วัดเตาปูน
,วัดสถานีรถไฟห้างฉัตร
,วัดนิคมสามัคคี
,วัดนาโป่งเหนือ
,วัดดอกพร้าว
,วัดแม่วะ
,วัดบ้านมั่ว
,วัดเหล่าหลวง
,วัดหนองเจริญ
,วัดสันรุ่งเรือง
,วัดสันหนองบง
,วัดย่าเป้า
,วัดบ่อหิน
,วัดทุ่งเกวียน
,วัดหนองขาม
,วัดบ้านกาด
,วัดศรีอ้วน
,วัดทุ่งส้าน
,วัดสองแควใต้
,วัดแม่มอกหลวง
,วัดมงคลเกษตร
,วัดทุ่งตอน
,วัดโป่งขาม
,วัดศรีปงชัย
,วัดแม่วะกลาง
,วัดศาลาบัวบก
,วัดแพะหลวง
,วัดห้างฉัตร
,วัดสาแลไชย
,วัดถ้ำสุขเกษมสวรรค์
,วัดวอแก้ว
,วัดศรีถ้อย
,วัดบ่อแฮ้ว
,วัดบ้านหวด
,วัดชมพูหลวง
,วัดนากว้าว
,วัดทรายใต้
,วัดสันป่าหนาด
,วัดวังมน
,วัดม้าใต้
,วัดห้วยอูน
,วัดเมืองศาสน์
,วัดบุญวาทย์วิหาร
,วัดบ้านกวาง
,วัดนาแขม
,วัดบ้านแค่
,วัดสุทธาวาส
,วัดบ้านแป้น
,วัดแม่ตั๋ง
,วัดบ้านต้า
,วัดทุ่งขาม
,วัดแม่ก๋ง
,วัดแจ้คอน
,วัดหัวทุ่ง
,วัดนาดู่หลวง
,วัดศาลาไชย
,วัดห้วยเป้ง
,วัดโป่งร้อน
,วัดบ้านด่าน
,วัดทุ่งฝาง
,วัดปงสนุกใต้
,วัดศิลาวารี
,วัดเมาะหลวง
,วัดแม่วะเด่นชัย
,วัดต้นธง
,วัดท่ามะโอ
,วัดสันกำแพง
,วัดนาคตหลวง
,วัดปงใต้
,วัดนาแส่ง
,วัดห้วยแก้ว
,วัดแม่เติน
,วัดบ้านอ้อน
,วัดสบไร่
,วัดบ้านหนอง
,วัดป่าดัวะ
,วัดง้าวพิชัย
,วัดสบตาล
,วัดสันป่าเปา
,วัดแม่ทรายเงิน
,วัดสุวรรณาราม
,วัดบ้านสัก
,วัดฝายน้อย
,วัดสามัคคีธรรม
,วัดสบม่ำ
,วัดท่าผา
,วัดดงนั่งคีรีชัย
,วัดค่ากลาง
,วัดป่าฝาง
,วัดแม่เย็น
,วัดเวียง
,วัดบ้านเอื้อม
,วัดปงถ้ำ
,วัดสองแควเหนือ
,วัดบอมธาตุ
,วัดทุ่งโจ้
,วัดโทกหัวช้าง
,วัดห้วยกันทา
,วัดท่าวิมล
,วัดศรีรองเมือง
,วัดแม่ต๋ำ
,วัดเมืองมาย
,วัดเวียงสวรรค์
,วัดศาลาหลวง
,วัดสิงห์ชัย
,วัดดอนเบียง
,วัดบ้านต๋อม
,วัดกอกชุม
,วัดม่อนเจดีย์ไชย
,วัดทุ่งปงเรือน
,วัดศรีวนาลัย
,วัดห้วยหลอ
,วัดศรีหลวงแจ้ซ้อน
,วัดบ้านลู
,วัดดอนไฟ
,วัดบ้านสาด
,วัดปงคก
,วัดทุ่งโป่ง
,วัดนากวาง
,วัดนทีวังการาม
,วัดนางเหลียว
,วัดห้วยเรียน
,วัดกอรวก
,วัดทุ่งตึง
,วัดช้างเผือก
,วัดกล้วยหลวง
,วัดสันหลวง
,วัดทุ่งจี้ศรีเจริญ
,วัดหนองแหวน
,วัดแม่ตีบหลวง
,วัดศรีล้อม
,วัดพระเจ้าทันใจ
,วัดท่าล้อ
,วัดท่านาค
,วัดทุ่งกู่ด้าย
,วัดสบป้าด
,วัดสามขา
,วัดสบปาน
,วัดม้าเหนือ
,วัดไผ่ปง
,วัดศรีบุญโยง
,วัดพระเจ้านั่งแท่น
,วัดปงเตา
,วัดปงยางคก
,วัดปากกอง
,วัดม่อนธาตุ
,วัดถ้ำผาช่อ
,วัดนาก่วมเหนือ
,วัดเชียงหมั้น
,วัดสบเฟือง
,วัดส้มป่อย
,วัดปงแสนทอง
,วัดบ้านขาม
,วัดบ้านไฮ
,วัดป่าบง
,วัดนาโป่งหาญ
,วัดขามแดง
,วัดนายาง
,วัดปงกา
,วัดกาศเมฆ
,วัดศรีดอนมูล
,วัดแม่ปะหลวง
,วัดท่านาง
,วัดป่าจ่ำ
,วัดบ้านหลวง
,วัดพระบาทแม่ไทย
,วัดแม่เชียงรายลุ่ม
,วัดแม่หลง
,วัดบ้านข่อย
,วัดทุ่งปิ้ง
,วัดหนองหล่ม
,วัดไผ่กลาง
,วัดพุทธบาทสุทธาวาส
,วัดบ้านจัว
,วัดนาแก้วตะวันออก
,วัดอักโขชัยคีรี
,วัดปงวัง
,วัดโป่งแน่น
,วัดสันตินิคม
,วัดพระบาทเมืองมาย
,วัดขันหอม
,วัดร่องเห็ด
,วัดสว่างอารมณ์
,วัดบ้านเหมี้ยง
,วัดทุ่งปงชัย
,วัดชัยศรีภูมิ
,วัดนาป้อเหนือ
,วัดนาศาลา
,วัดแม่หีด
,วัดกู่เต้าวนาราม
,วัดแม่แสลม
,วัดห้วยมะเกลือ
,วัดม่อนคีรีไชยแม่เมาะ
,วัดเวียงใต้
,วัดสบคือ
,วัดพระธาตุจอมปิง
,วัดสาหลวง
,วัดหลวงสบปราบ
,วัดพระบาทแม่วะ
,วัดบ้านเหล่า
,วัดปงสนุกเหนือ
,วัดผาปังหลวง
,วัดสบแสด
,วัดศรีเกิด
,วัดปลายนาหลวง
,วัดแม่สัน
,วัดเกาะหัวช้าง
,วัดแม่เฟือง
,วัดบ้านจว้าก
,วัดบ้านแก่น
,วัดหมื่นกาด
,วัดสบต๋ำ
,วัดท่าขัว
,วัดชัยมงคล
,วัดสบแม่นาง
,วัดใหม่นิคมเขต3
,วัดหางฮุงศรัทธาราม
,วัดป่าเหียง
,วัดสันป่าค่า
,วัดอุมลอง
