จังหวัด,รายชื่อวัด
,วัดบ้านกลาง
,วัดเหล่าเสือ
,วัดบ้านเมืองน้อย 
,วัดกลางบ้านเหล่า
,วัดป่าสุวรรณบรรพต
,วัดศรีสว่างอารมณ์
,วัดจอมศรี
,วัดหนองผักตบ
,วัดบ้านโนนสะอาด
,วัดหนองหอย
,วัดสุปัญญาราม
,วัดสิงห์ทอง
,วัดกลางหมูม้น
,วัดหนองเต่า
,วัดอัมพวันธิญาราม
,วัดบ้านก่อ
,วัดวังทอง
,วัดชัยศรีมงคลวนาราม
,วัดศีลาพัฒนาภูมิ
,วัดกู่พัฒนา
,วัดโพธิ์กลาง 
,วัดบ้านดอกไม้
,วัดป่าสามัคคีธรรม
,วัดตลาดแจ้ง
,วัดบ้านบักตู้
,วัดศรีหาราษฎร์บำรุง
,วัดสำโรง
,วัดขะยอม
,วัดสว่างหัวนา
,วัดสอาดบ้านกอก
,วัดราษฎร์วารี
,วัดดงหัวเรือ
,วัดธาตุ
,วัดอุปราวิจิตร
,วัดบ้านดู่ฝายใหญ่
,วัดดอนแดง
,วัดศรีเจริญพร
,วัดบ้านหน้องหญ้าคา
,วัดอุบลนิวาส
,วัดสุนทรนิวาส
,วัดสว่างแสงอรุณ
,วัดสมัยบำรุง
,วัดศรีบุญเรือง
,วัดคานหัก
,วัดศรีสุมังคล์
,วัดปราสาทวิชัย
,วัดโพธิ์ศรี
,วัดป่าธรรมรังษี
,วัดสว่างทุ่งรังษี
,วัดหินกอง
,วัดหนองโปร่ง
,วัดหนองแวงยาว
,วัดเหล่าลิง
,วัดบ้านดอกรัก
,วัดสว่างรังษี
,วัดเปลือยใหญ่
,วัดฉิมพลีพิจิตราราม
,วัดวังยาว
,วัดดูกอึ่ง
,วัดสอาดอารมณ์
,วัดประชาคมวนาราม
,วัดเมืองสรวงเก่า
,วัดโพธิ์งาม
,วัดสว่างหัวงัว
,วัดโพธิ์ศรีไชยวาน
,วัดบัวสูง
,วัดป่าศรีดอนกลาง
,วัดบูรพาภิราม
,วัดท่าโพธิ์
,วัดบ้านหนองพุก
,วัดอุดมไพรสณฑ์
,วัดแสงอรุณผดุงสันติ์
