จังหวัด,รายชื่อวัด
,วัดหนองเดียงน้อย
,วัดสังเม็ก
,วัดป่าดงลำดวน
,วัดไผ่งามสามัคคี
,วัดกันจาน
,วัดบ้านสิ
,วัดดินดำ
,วัดนิคมศีลาราม
,วัดระโยง
,วัดดงยาง
,วัดหนองระเยียว
,วัดบกขี้ยาง
,วัดดงแคง
,วัดโพธิ์ศรี
,วัดดองกำเม็ด
,วัดปะหละ
,วัดป่าพุทธศิลา
,วัดรัมมณ๊วาส
,วัดโจดนาห่อม
,วัดโคกระเวียง
,วัดท่าสว่าง
,วัดหัวขัว
,วัดทุ่งศรีนวล
,วัดเมืองจันทร์
,วัดกลางประชาสรรค์
,วัดศรีกรุง
,วัดสวัสดี
,วัดนิคมซอย 
,วัดรังแร้ง
,วัดไพรบึง
,วัดจันทอง
,วัดบ้านเกาะ
,วัดหนองสังข์
,วัดโพธิ์งาม
,วัดเกียรติแก้วสามัคคี
,วัดศรีแก้ว
,วัดบ้านอี่เซ
,วัดบ้านซ่ง
,วัดโนนสำเริง
,วัดบ้านผักแว่น
,วัดโนนแก
,วัดเหล่าแค
,วัดปลาซิว
,วัดศรีอุทุมพร
,วัดมะหลี่
,วัดทุ่งโพธิ์
,วัดปลาขาว
,วัดบ้านขะยูง
,วัดบ้านผึ้ง
,วัดบ้านเปลือย
,วัดโศกขามป้อม
,วัดโซงเลง
,วัดเมืองเก่า
,วัดตาเอก
,วัดจานบัว
,วัดหัวนา
,วัดบ้านซำ
,วัดแคนใหญ่
,วัดบ้านปุน
,วัดบ้านหนองมะเกลือ
,วัดส้มป่อยน้อย
,วัดดอนงูเหลือม
,วัดจำนรรค์
,วัดน้ำเย็น
,วัดหนองแคน
,วัดสร้างเรือ
,วัดโพนทอง
,วัดโพนเมือง
,วัดป่าบ้านกลาง
,วัดบัวระรมย์
,วัดกุดโง้ง
,วัดหมากเขียบ
,วัดบุเดื่อ
,วัดโนนเปือย
,วัดบ้านจอก
,วัดสำโรงสูง
,วัดหนองเหล็ก
,วัดบ้านโพง
,วัดสำโรงปราสาท
,วัดยางเอือด
,วัดบ้านกระจ๊ะ
,วัดเมืองแคนน้อย
,วัดปราสาทเยอใต้
,วัดสว่างกงพาน
,วัดโพธิ์ศรีก้านเหลือง
,วัดพระธาตุศรีโสภณ
,วัดบ้านจาน
,วัดหนองผือ
,วัดโพนข่า
,วัดศรีตระกาจ
,วัดเสื่องข้าว
,วัดตาโกน
,วัดเจียงวง
,วัดนารังกาวราราม
,วัดโนนแกด
,วัดบ้านเหรียญทอง
,วัดบ้านตลาด
,วัดหนองสวง
,วัดป่าศิลาลาด
,วัดปลาเดิด
,วัดเพียนาม
,วัดสวาย
,วัดโนนสาย
,วัดบ้านจิก
,วัดหนองเข็ง 
,วัดพันลำ
,วัดสวนกล้วย
,วัดโนนม่วง
,วัดหนองนาเวียง
,วัดบ้านผือ
,วัดหนองขวาง
,วัดบ้านตัง
,วัดเขียนบูรพาราม
,วัดศรีขุนหาญ
,วัดพวงพยอม
,วัดหนองบัวไชยวาน
,วัดธาตุน้อย
,วัดกลาง
,วัดตะดอบ
,วัดบ้านด่าน
,วัดหนองเม็ก
,วัดยางชุมใหญ่
,วัดบ้านงิ้ว
,วัดหนองเลิง
,วัดหญ้าปล้อง
,วัดเมืองคง
,วัดศิวาลัย
,วัดญาณสามัคคี
,วัดศาลา
,วัดโพธิ์ศรีหนองกก
,วัดหนองห้าง
,วัดมะกรูด
,วัดบ้านตะแบง
,วัดเขวิก
,วัดทางสาย
,วัดเจียงอีศรีมงคลวราราม
,วัดบ้านเขวา
,วัดอะลาง
,วัดบ้านกอย
,วัดตาเบ๊าะเกษมงคล
,วัดหนองหิน
,วัดบ้านเชือก
,วัดบ้านทุ่งไชย 
,วัดบ่อทอง
,วัดแสนคูณ
,วัดสำโรงพลัน
,วัดโพธิ์สามัคคี
,วัดสุวรรณาราม
,วัดกระแชงใหญ่
,วัดบ้านธาตุ
,วัดบ้านดอนเขียว
,วัดหนองตลาด
,วัดนิคมห้วยคล้า
,วัดหนองมุกข์
,วัดโพธิ์ศรีสมโภช
,วัดบ้านโพธิ์
,วัดเพียมาตร
,วัดหนองระนาม
,วัดไพรพะเนาว์
,วัดบ้านขนุน
,วัดซำผักแว่น
,วัดโนนสำนัก
,วัดยางชุมน้อย
,วัดหนองปะอุง
,วัดศรีประชาสามัคคี
,วัดยางใหญ่
,วัดสระบานสนวน
,วัดหนองถ่มธรรมาวาส
,วัดสร้างแก้ว
,วัดบ้านโทะ
,วัดปรางค์กู่
,วัดตายู
,วัดสว่างวราราม
,วัดบ้านโปร่ง
,วัดสำโรงเกียรติ
,วัดศิริโตนด
,วัดหนองลุง
,วัดหนองแลง
,วัดทุ่งพาย
,วัดน้ำอ้อมน้อย
,วัดเกาะกระโพธิ์
,วัดโนนจิก
,วัดโพนเขวา
,วัดศรีสว่าง
,วัดห้วยสระภูมิ
,วัดบ้านหว้าน
,วัดบ้านนา
,วัดโพธิ์กระสังข์
,วัดหนองสะมอน
,วัดโนนยาง
,วัดปราสาททามจาน
,วัดป่าบึงระนาม
,วัดหนองบอน
,วัดสร้างปี่
,วัดดอนข่า
,วัดนาดี
,วัดโคกเพชร
,วัดสามขา
,วัดบ้านหนองจิก
,วัดบ้านรุ่ง
,วัดโนนสมบูรณ์
,วัดบ้านก้อนเส้า
,วัดอีเซ
,วัดนาซำ
,วัดตาเครือ
,วัดนาสูง
,วัดยางเครือ
,วัดตาเกษ
,วัดบกจันทร์นคร
,วัดบ้านเจี่ย
,วัดป่าไม้พัฒนา
,วัดบ้านโนนคูณ
,วัดกัลยาโฆสิตาราม
,วัดหนองใหญ่สีดาราม
,วัดหนองหัวช้าง
,วัดบ้านขาม
,วัดบ้านไฮ
,วัดกุดนาแก้ว
,วัดหลวงสุมังคลาราม
,วัดหนองครก
,วัดกวางขาว
,วัดภูมิศาลา
,วัดเหล่ายอด
,วัดทุ่งสว่าง
,วัดธาตุบึงบอน
,วัดขนวน
,วัดโพธิ์ลังกา
,วัดสลักใด
,วัดเก็บงา
,วัดอีหนา
,วัดกุดเสลา
,วัดโนนอีปัง
,วัดป่าสันติสุข
,วัดดงบัง
,วัดศิลาวราราม
,วัดบ่อแก้ว
,วัดสุขเกษม
,วัดหนองเตย
,วัดวังชมภู
,วัดหนองแค
,วัดมะยาง
,วัดป่าโมง
,วัดหลักหิน
,วัดหนองคูอาวอย
,วัดโพนยาง
,วัดสำโรงใหญ่
,วัดฮ่องข่า
,วัดค่ายนิคม
,วัดเดียงตะวันตก
,วัดบ้านสวงษ์ 
,วัดรอยพระพุทธบาทภูสิงห์
,วัดพานทา
,วัดไพรพะยอม
,วัดสระบัว
,วัดวิสุทธิโสภณ
,วัดโนนสว่าง
,วัดสว่างอารมณ์
,วัดเมืองแคนใหญ่
,วัดหนองนา
,วัดบ้านไพร
,วัดเมืองหลวง
,วัดศิริสว่าง
,วัดโนนเอาว์
,วัดบ้านห่อง
,วัดคำบอน
,วัดพอกนาดี
,วัดกำแมด
,วัดหนองดุม
,วัดยางกุด
,วัดตาแท่น
,วัดดวนใหญ่
,วัดหนองทา
,วัดศรีสุมังคลาราม
,วัดหัวสะพานทางโค้ง
,วัดบ้านเหงียง
,วัดหนองถ่ม
,วัดสลับ
,วัดศรีห้วยทับทัน
,วัดโนนสูงวนาราม
,วัดอี่หล่ำ
,วัดป่าดู่
,วัดโสนโพธาราม
,วัดบ้านตาหมื่น
,วัดโนนเพ็ก
,วัดตองปิด
,วัดบ้านหนองปลาเข็ง
,วัดกระแซง
,วัดป่าศรีสำราญ
,วัดหนองจิก
,วัดจังกระดาน
,วัดคูสระ
,วัดบ้านแวด
,วัดนาครินทร์
,วัดเจ็กโพธิ์พฤกษ์
,วัดบ้านแก่น
,วัดกบิลนิมิต
,วัดใจดี
,วัดหมากยาง
,วัดขนุน
,วัดหนองคูขาม
,วัดบ้านเขิน
,วัดมัคกา
,วัดอรุณสว่าง
,วัดม่วง
,วัดบ้านกุง
,วัดนาขนวน
,วัดสว่างศิริสำราญ
,วัดหนองตะมะ
,วัดหนองม่วง
,วัดตำแย
,วัดศิริมงคล
,วัดบ้านหยอด
,วัดบ้านค้อ
,วัดเจ้าทุ่ง
,วัดบ้านคูบ
,วัดสวนอ้อย
,วัดหนองกระทิง
,วัดหนองกันจอ
,วัดโพธิ์สว่าง
,วัดไหล่ดุม
,วัดสุพรรณรัตน์ 
,วัดส้มป่อยใหญ่
,วัดนาทุ่ง
,วัดบ้านหนองผือ
,วัดบ้านดูน
,วัดจอมพระ
,วัดจานโง
,วัดหนองศาลา
,วัดผักแพว
,วัดคูเมือง
,วัดซะวาซอ
,วัดป่าบ้านแก
