จังหวัด,รายชื่อวัด
,วัดฉายแสง
,วัดปอแดง
,วัดท่าช้าง
,วัดโพนทัน
,วัดห้วยแก้ง
,วัดกู่จาน
,วัดประชาเฉลิมเกียรติ
,วัดป่าบ้านนาโป่ง
,วัดบ้านนาแก
,วัดหนองหงอก
,วัดโคกนาโก
,วัดสวาสดิ์
,วัดคำแขนศอก
,วัดธาตุทอง 
,วัดหนองศาลา
,วัดดอนแรด
,วัดคูเมือง
,วัดหนองลาดควาย
,วัดทุ่งมน
,วัดเชียงเครือ
,วัดท่าสะอาด
,วัดทุ่งสว่างชัยภูมิ
,วัดผือฮี
,วัดป่าน้อยกุดกุง
,วัดสว่าง
,วัดหนองหาบแห
,วัดดอนกลอง 
,วัดธรรมรังษีนิคมเขต
,วัดบ้านกล้วย
,วัดโนนทรายงาม
,วัดจำปา
,วัดภูทางเกวียน
,วัดบ้านกลาง
,วัดบ้านหนองแวง
,วัดอุตตมังคลาราม
,วัดบ้านหนองแสง
,วัดม่วงใหญ่ 
,วัดมะมาย
,วัดมหาธาตุ
,วัดหอก่อง
,วัดป่าหนองเมืองกลาง
,วัดพลไว
,วัดหนามแท่ง
,วัดป่าท่าค้อหนองบัว
,วัดบูรพา
,วัดตับเต่า
,วัดเหล่าอาภรณ์
,วัดหนองซ่งแย้
,วัดโต่งโต้น
,วัดดอนกลอย
,วัดศรีมงคล
,วัดสิงห์ทอง
,วัดจวงเจริญ
,วัดหนองไม้ตาย
,วัดนาโป่ง
,วัดดงสำราญ
,วัดกลางนา 
,วัดศรีอุทัย
,วัดคำกลาง
,วัดศรีพัฒนาราม
,วัดขะยอม 
,วัดป่าสามัคคีธรรม
,วัดบ้านบาก
,วัดย่อเหนือ
,วัดบกน้อย
,วัดบ้านพลับ
,วัดกุดเป่ง
,วัดโนนแดง
,วัดบ้านบ่อ
,วัดบ้านกว้าง
,วัดโคกมนัส
,วัดโคกยาว
,วัดสำโรง
,วัดเขมิยาราม
,วัดอ่างสร้างหินนาโพธิ์
,วัดนาโส่
,วัดหนองคำ
,วัดเสาเล้า
,วัดบ้านม่วง
,วัดท่าประชุม
,วัดศรีบุญเรือง 
,วัดบ้านโป่ง
,วัดคึมยาว
,วัดบ้านเขื่องคำ
,วัดช่องเม็ก
,วัดโนนขี้เหล็ก
,วัดห้วยกอย
,วัดศรีธงทอง
,วัดกุดแดง
,วัดดอนนกชุม 
,วัดโสกน้ำใส
,วัดหนองมาลา
,วัดเตาไห
,วัดสระปทุมวนาราม
,วัดกระจายนอก
,วัดศรีบุญเรือง
,วัดโสกขุมปูน
,วัดแหล่งหนู
,วัดโคกเจริญ
,วัดดงยาง
,วัดโพธิกาญจนาราม
,วัดน้ำโผ่
,วัดหินสิ่ว
,วัดพันธุธรรมาราม
,วัดบ้านแดง
,วัดโสมนัสสยาราม
,วัดหนองเสียว
,วัดคำแหลม
,วัดโพนแพง
,วัดดอนกลอง
,วัดดอนกลาง
,วัดโพธิ์ศรี
,วัดศรีฐานนอก
,วัดคำไผ่เหนือ
,วัดป่าพุทธสถานภูหินปูน
,วัดบ้านไผ่
,วัดคำหนองยาง
,วัดพระโต
,วัดนาเวียง
,วัดภูผาขาว
,วัดบ้านบอน
,วัดหัวขัว
,วัดศรีสุพรรณ
,วัดดอนแก้ว
,วัดเหล่าหุ่ง
,วัดโพธาราม
,วัดศรีสว่างมงคล
,วัดโพธิ์สมโพธิ
,วัดพนอมตาว
,วัดโพธิ์ไทร
,วัดไชยมงคล
,วัดโคกสว่าง
,วัดแสนพัน
,วัดค้อวัง
,วัดคำม่วง
,วัดศรีแก้ว
,วัดนาส่อน
,วัดสว่างหัวงัว
,วัดดงแคนใหญ่
,วัดเหล่าฝ้าย
,วัดกุดจอก
,วัดสิริมงคล
,วัดดอนเขือง
,วัดศรีวิลัย 
,วัดคำเกิด
,วัดดงขวาง
,วัดโนนประทาย
,วัดเกาะแก้ว
,วัดโพธาราษฎร์บำรุง
,วัดห้วยยาง
,วัดหนองแคนน้อย
,วัดพลเมือง
,วัดหนองสวรรค์
,วัดหนองสรวง
,วัดอุทยาราม
,วัดโคกสำราญ
,วัดโพนสิม
,วัดคำสว่างสุขาราม
,วัดบุ่งหวาย
,วัดโชติการาม
,วัดหัวนา
,วัดป่าดอนธาตุ
,วัดเหล่าตำแย
,วัดบ้านดง
,วัดบ้านหนองเม็ก
,วัดเชือกน้อย
,วัดตรีสุวรรณาราม
,วัดป่าน้ำคำน้อย
,วัดเหล่าไฮ
,วัดหนองแคน
,วัดลัฎฐิวัน
,วัดโพนดินแดง
