จังหวัด,รายชื่อวัด
,วัดรังษีชัชวาลย์
,วัดป่าสันติธรรม
,วัดศรีสมสนุกบ้านคุย
,วัดสาหินชัยมัด
,วัดโคกล่าม
,วัดอุดมคงคานิมิต
,วัดอัมพวันบ้านชาด
,วัดศิลาอาสน์จิตราษฎร์รังสรรค์
,วัดหนองแปน
,วัดสระบัวเชียงสา
,วัดสว่างคงคา
,วัดสว่างโนนสูง
,วัดสว่างแสงจันทร์ดอนข่า
,วัดท่ากลาง
,วัดสว่างบึงทอง
,วัดโพธิ์ชัยดินจี่
,วัดอุดมผลหนองไผ่
,วัดโพธิ์ศรีแสงสว่าง
,วัดทิพวัน
,วัดกุดกอก
,วัดดอนสนวน
,วัดอโศกธรรมมาราม
,วัดบวรดิตถาราม 
,วัดมงคลหนองแสง
,วัดโพธิ์ชัยโนนสูง
,วัดศรีเมืองจันทร์
,วัดปทุมรังษี
,วัดโพธิ์ไชยาราม
,วัดโพธิ์ศรีหนองบัวใน
,วัดสว่างกุงศรี
,วัดสะอาดสมศรี
,วัดโนนไฮ
,วัดท่าช้าง
,วัดคำสร้างเที่ยง
,วัดกกต้อง
,วัดหนองคู
,วัดสามัคคีพัฒนาบ้านแดง
,วัดบ้านกกตาล
,วัดคลองน้ำไหล
,วัดโพธิ์ชัยโคกศรี
,วัดชัยศรี 
,วัดดงเค็ง
,วัดศรีจันทร์สว่างคงคา
,วัดป่าหนองคู
,วัดนากุดสิน
,วัดบุบผานาสีนวล
,วัดสีสุกกุดฝั่งแดง
,วัดดอยดงเย็น
,วัดโพธิ์ชัยโคกใหญ่
,วัดหนองแวงดง
,วัดโพธิวราราม
,วัดศรีสว่างอารมณ์
,วัดจอมศรี
,วัดแสงจันทร์นาเชือก
,วัดศิริเจริญสุข
,วัดสว่างธรรมรังษี
,วัดสว่างศรีบุญเรือง
,วัดศรีสง่าท่านาจาน
,วัดหนองไม้ตาย
,วัดป่าดงบัง
,วัดสีสุมังคลาราม
,วัดเหล่าสูง
,วัดสะอาดโพธิ์ชัย
,วัดโพนงาม
,วัดแจนแลนใต้
,วัดชัยสิทธาราม
,วัดดงกระยอมอุดมคุณ
,วัดหนองอีบุตร
,วัดโพธิ์ชัยบุ่งคล้า
,วัดโนนยิ่งสันต์
,วัดหอไตรปิฎการาม
,วัดสว่างโพธิ์ทอง 
,วัดสว่างบ้านเหล่า
,วัดเกาะแก้วพิสดาร
,วัดมณีศิลาราม
,วัดดอนยุง
,วัดโพธิ์ศรีบ้านแก
,วัดเหล่าใหญ่เหนือ
,วัดมงคลคำศรี
,วัดสีดาวราราม
,วัดลำชีศรีวนาราม
,วัดโพธิ์ทองสงเปลือย
,วัดกลางโสภณ
,วัดเขาน้อย
,วัดป่าอรัญญิกาวาส
,วัดดำแคน
,วัดคำชมภู
,วัดป่าท่าแสงจันทร์
,วัดบูรพาโคกเครือ
,วัดป่าสุประเสริฐ
,วัดสายทองหนองเม็ก
