จังหวัด,รายชื่อวัด
,วัดแก่งศรีโคตร
,วัดบ้านสมบูรณ์
,วัดนาควาย
,วัดโนนรัง
,วัดโนนน้อย
,วัดบึงเขาหลวง
,วัดประชาพิทักษ์
,วัดสังขะเสนาราม
,วัดป่าหนองคู
,วัดป่าศรีสุข
,วัดบ้านกลาง
,วัดสิงห์ทองสุภารักษ์
,วัดหัวเห่ว
,วัดศรีสว่างอารมณ์
,วัดแจ้งสว่าง
,วัดบ้านเป้า
,วัดจอมศรี
,วัดทุ่งศรีเจริญ
,วัดบ้านก่อนอก
,วัดบ้านดอนโด่(ดอนโด่
,วัดหนองหอย
,วัดสิงห์ทอง
,วัดโพนไพศาล
,วัดป่าพระเจ้าใหญ่ธาตุลุ่ม
,วัดศรีวิสุทธาราม
,วัดหอไตร
,วัดหนองไม้ตาย
,วัดโนนทราย
,วัดบูรพาพิสัย
,วัดโพนงาม
,วัดบ้านก่อ
,วัดคำกลาง
,วัดหนองบัวหลวง
,วัดศรีดาวเรือง
,วัดหนองศิลา
,วัดคำเกิ่ง
,วัดเจริญศรีสุข
,วัดใหม่หนองเมือง
,วัดหลุบเลา
,วัดโนนแดง
,วัดราษฏร์ศรัทธา
,วัดสว่างท่ากุ่ม
,วัดสำโรง
,วัดผาแก้วใหญ่
,วัดทุ่งเพียง
,วัดเสาเล้า
,วัดแสนอุดม
,วัดดอนแดง
,วัดแสนสนุก
,วัดด้ามพร้า
,วัดป่าวังคก
,วัดหนองฮี
,วัดบ้านนาห่อม
,วัดโนนกอก
,วัดบ้านค้อบอน
,วัดป่าเรไรรัตนาราม
,วัดโคกเที่ยง
,วัดดินดำ
,วัดฮ่องไผ่
,วัดศรีบุญเรือง
,วัดสว่างหนองแสง
,วัดแก้งเรือง
,วัดโภคการาม
,วัดโพธิ์ศรี
,วัดหนองเหล่า
,วัดป่ายางกลาง
,วัดไพบูลย์วนาราม
,วัดสระสมิง
,วัดป่าบ้านโนนเก่า
,วัดป่าพุทธญาณ
,วัดคีรีบรรพต
,วัดป่าหนองขี้เห็นใหญ่
,วัดฝั่งเพ(บ้านโนนสวาง
,วัดท่าบ่อแบง
,วัดห่องขอน
,วัดอันตรมัคคาราม
,วัดแก้วรังษี
,วัดป่าศรีทองวนาราม
,วัดศิลาไหล
,วัดสามัคคีสังฆาราม
,วัดสว่าง(รัตนาราม
,วัดโนนป่ารง
,วัดโคกสว่างวนาราม
,วัดศรีทาวนาราม
,วัดคำไฮใหญ่
,วัดหวายยาว
,วัดซำสะกวยน้อย
,วัดอมรินทราราม
,วัดพระธาตุหนองบัว
,วัดบ้านนาขนัน(สว่างอารมณ์
,วัดโนนขาม
,วัดทุ่งศรี
,วัดนาคำ
,วัดเหล่าแดง
,วัดนาสะอาด
,วัดป่าหนองบัว
,วัดศรีบัว
,วัดห้วยขะยุง
,วัดป่าค้อเจริญธรรม
,วัดยางลุ่ม
,วัดคำปะโอ
,วัดป่าดอนยู
,วัดด่านเม่น
,วัดโนนกาเล็น
,วัดโนนป่าเลา
,วัดเวียงเกษม
,วัดดอนพอก
,วัดหนองผือ
,วัดวารีอุดม
,วัดเที่ยงประดิษฐ์
,วัดศรีรัตนะ
,วัดนาจาน
,วัดแก้งกกก่อ
,วัดห่องชัน
,วัดวังมน
,วัดโขงเจียมปุราณวาส
,วัดถ้ำคูหาสวรรค์
,วัดสมบูรณาราม
,วัดชลธาร
,วัดทุ่งมณี
,วัดดอนสุวรรณ์
,วัดโสกแสง
,วัดอโนดาษ
,วัดทองสวัสดิ์
,วัดบ้านจิก
,วัดหนองแก
,วัดนาทอย
,วัดอาศรมสันติวัน
,วัดเอี่ยมวนาราม
,วัดแก่งอำนวย
,วัดโนนม่วง
,วัดสำราญ
,วัดหัวเรือ
,วัดดอนเสาโฮง
,วัดรวมไทย
,วัดธาตุน้อย
,วัดกลาง
,วัดชมภูรัตนาราม
,วัดเสนาสนาราม
,วัดดอนโปง
,วัดหนองเมือง
,วัดผักแว่น
,วัดปัจฉิม
,วัดเลียบ
,วัดหนองหัวงัว
,วัดสิทธิวราราม
,วัดป่านาเยีย
,วัดคำสำราญ
,วัดอุดมชาติ
,วัดบ้านคำแม่มุ่ย
,วัดทางสาย
,วัดป่าคำนาแซง
,วัดทุ่งเกลี้ยง
,วัดคำโทน
,วัดห้วยไฮ
,วัดแก่งตอย
,วัดโคกชำแระ
,วัดหนองเซือมเหนือ
,วัดวารินทราราม
,วัดบ้านเชือก
,วัดโชคอำนวย
,วัดป่าพูนสิน
,วัดสระแก้ว
,วัดสระดอกเกษ
,วัดศรีสุข
,วัดนาห้วยแคน
,วัดสามัคคีธรรม
,วัดศรีจันทร์
,วัดรมณีย์กุฏาราม
,วัดท่าลาด
,วัดดอนงิ้ว
,วัดประชาเกษม
,วัดหนองแล้ง
,วัดสะพานโดม
,วัดป่าศิลาราม
,วัดป่าเขืองน้อย
,วัดปากโดม
,วัดจุฑามณี
,วัดป่าไร่
,วัดจันทร์ทุมมาวาส
,วัดป่าบ้านดง
,วัดหนองเซือมใต้
,วัดอัมพามงคล
,วัดบ้านสำโรง
,วัดโนนชาติ
,วัดท่าวารี
,วัดดอนประทาย
,วัดศรีสว่าง
,วัดบ้านหว้าน
,วัดใหม่ทองสว่าง
,วัดหนองเงินฮ้อย
,วัดโพนแอวขัน
,วัดป่าตาโม
,วัดอรัญญวาสี
,วัดผักกะย่า
,วัดป่าดงบ้านตาด 
,วัดโอภาสธรรมธาราม
,วัดอุดมสุข
,วัดโคกน้อย
,วัดหนองไหล
,วัดโนนกุง
,วัดป่าบ้านผือ
,วัดคูสว่าง
,วัดนาดี
,วัดหนองทัพ
,วัดผาแก้วน้อย
,วัดทุ่งศรีเมือง
,วัดหนองหัวลิง
,วัดหนองแกใหม่
,วัดแกนาคำ
,วัดแสงเกษม
,วัดยางเครือ
,วัดสำลาก
,วัดแหลมทอง
,วัดป่านาแก
,วัดนาอุดม
,วัดโป่งเป้า
,วัดทุ่งขุนใหญ่
,วัดบ้านโนนยาง
,วัดภูเขาแก้ว
,วัดห้วยทราย
,วัดคำแคน
,วัดบ้านทัน
,วัดโนนหินสูง
,วัดดงบัง
,วัดป่าแสงธรรม
,วัดหนองหล่ม
,วัดโนนสวาสดิ์
,วัดบ้านดอนแดงใหญ่
,วัดเก่าขาม
,วัดใหม่ทองเจริญ
,วัดสำโรงใหญ่
,วัดบ้านชาด
,วัดจานเขื่อง
,วัดกุดวารี
,วัดโนนกระโจม
,วัดศรีนวนลำดวน
,วัดท่าช้างใหญ่
,วัดสว่างอารมณ์
,วัดสระบัว
,วัดป่าหนองสองพี่น้อง
,วัดบ้านไม้ค้าง
,วัดอุดมวนาสันติ์
,วัดโนนหมากเดือย
,วัดเขมาราม
,วัดเสนาวงศ์
,วัดบ้านเบญจ
,วัดคำบอน
,วัดตาเกา
,วัดทุ่งนาเมือง
,วัดหนองยาว
,วัดอุดมธัญญาหาร
,วัดบุญจิราธร
,วัดศรีธาตุ
,วัดป่าทุ่งบุญ
,วัดนาไหทอง
,วัดมณีวนาราม
,วัดดอนบาก
,วัดสร้างขุนศรี
,วัดโนนบอน
,วัดแต้เก่า
,วัดป่าศรีแสงธรรม
,วัดหนองไข่นก
,วัดศรีสาราม
,วัดเดื่อโดม
,วัดหนองจิก
,วัดข่าโคม
,วัดสวนตาล
,วัดป่าศิลาเลข
,วัดป่าเหล่าคำ
,วัดบ้านวังยาง
,วัดแก่งโดม
,วัดชัยมงคล
,วัดการัญญาวาส(การุณญาวาส
,วัดบ้านตาแหลว 
,วัดนาทมใต้
,วัดกุดลาด
,วัดบัวเทิง
,วัดหนองม่วง
,วัดดอนม่วย
,วัดป่าหนองบัวพัฒนา
,วัดอาภาราม 
,วัดบ้านค้อ
,วัดโนนศิลาราม
,วัดศรีลาลัย
,วัดโนนหินกอง
,วัดโพธิ์สว่าง
,วัดแก่งเจริญสุข
,วัดนากระแซง
,วัดบ้านดูน
,วัดบ้านชาติ
,วัดหนองกินปลา
,วัดศรีไคลมังคลาราม
,วัดบ้านขวาว
,วัดสิทธิอุดม
,วัดบุ่งมะแลงน้อย
,วัดโนนรังน้อย
,วัดสุ่งช้าง
,วัดไชยธราวาส
,วัดกระโสบ
,วัดบุปผาวัน
,วัดดอนตะลี
,วัดพุทธรักษา
,วัดนาสนาม
,วัดหนองช้างทอง
,วัดบ้านแคน
,วัดบูรพา
,วัดโพธิ์ศรีบ้านไผ่
,วัดอำพาพล
,วัดศิริธรรมวนาราม
,วัดจิกลุ่ม
,วัดป่าหนองเม็ก
,วัดนาจาน(ศรีคูณเมือง
,วัดเวฬุวนาราม
,วัดห้วยดู่
,วัดท่าช้างน้อย
,วัดมุจลินทวราราม
,วัดสวนฝ้าย
,วัดศรีสมบูรณ์แหลมทอง
,วัดบ้านคีห์
,วัดท่าเมือง
,วัดเขื่องกลาง
,วัดดงกระชู
,วัดคำครั่ง
,วัดบ้านแสง
,วัดป่าเรไรยกาวาส 
,วัดปากน้ำ
,วัดสว่างมงคล
,วัดขามป้อม
,วัดโนนสวาง
,วัดยางโยภาพ
,วัดป่าสนามชัย
,วัดป่านานาชาติ
,วัดอูบมุง
,วัดมัชฌิมาวาส
,วัดบ้านม่วง
,วัดโนนกอย
,วัดราษฏร์เจริญ
,วัดหนองปลาปาก
,วัดนามึน
,วัดหนองโพนเพ็ง
,วัดบ้านห่องยูง
,วัดสุนันทาวาส
,วัดหนองบัวฮี
,วัดธรรมละ
,วัดชุมพลรัตนาวัน
,วัดศรีอุดม
,วัดสิงหาญ
,วัดคัมภีราวาส
,วัดทุ่งใหญ่
