จังหวัด,รายชื่อวัด
,วัดโนนกกข่าพัฒนาราม
,วัดศรีสันตยาราม
,วัดโนนโพธิ์ทอง
,วัดโพนสามเสร็จ 
,วัดราษฎร์บำรุง
,วัดมณีไพรสณฑ์
,วัดชลประทาน
,วัดโพนสว่างอารมณ์
,วัดพุทธบาทภูควายเงิน 
,วัดศรีจำปา
,วัดชลธาราราม
,วัดสว่างอารมณ์
,วัดศรีชุมพร
,วัดโนนสว่าง
,วัดสันติธรรม
,วัดป่าอัมพวัน
,วัดโนนศิลา
,วัดชุมแสง
,วัดจอมพล
,วัดศรีชมภู
,วัดหนองข่า
,วัดศรีโนนเมือง
,วัดห้วยกองข้าว 
,วัดดอยวิเวก
,วัดศรีทัศน์
,วัดหนองโสน
,วัดศิริธราราม
,วัดคงคาวนาราม
,วัดศรีอรุณ
,วัดป่าสัมมานุสรณ์
,วัดศรีสง่า 
,วัดศรีพันดอน
,วัดโนนศรีชมพู
,วัดเชียงคาน
,วัดศรีสุมังคลาราม
,วัดป่าสันติธรรม
,วัดโพนสมศรี
,วัดบ้านผามุม 
,วัดศรีเวียงชัย
,วัดศรีสงคราม
,วัดป่าสามัคคีศรัทธาราม
,วัดศรีคำ
,วัดอภินันทนาราม
,วัดหลักหกสิบ
,วัดสายทอง
,วัดประชานิมิต
,วัดแสงธรรม
,วัดผาฝ้ายพัฒนาราม
,วัดราดน้อย
,วัดโพธิ์ศรีหายโศก
,วัดพัทธสีมาราม
,วัดห้วยทับช้าง
,วัดศรีตรัยภูมิ
,วัดดอนชัย
,วัดชัยมงคล
,วัดท่าข้าม
,วัดสันตยาวาส
,วัดผาหวายวนาราม
,วัดอัมรินทร์
,วัดศิริมงคล
,วัดธรรมาสามัคคี
,วัดชัยนาทมงคล
,วัดจันทราราม
,วัดคีรีวงศ์
,วัดวารีสาร
,วัดศรีมงคลวราราม
,วัดโพนทัน
,วัดสหมิตรวนาราม
,วัดสุคนธาบรรพต
,วัดโคกใหญ่สามัคคี
,วัดกู่คำ
,วัดกกม่วงชี
,วัดน้ำกระโทม
,วัดโพธิ์สว่าง
,วัดเมืองตูมธรรมาราม
,วัดถ้ำผาสิงห์
,วัดป่าสวนธรรมวิเวก 
,วัดโนนทองสามัคคี
,วัดลุมพินีวนาราม
,วัดสุพรมนิมิต
,วัดโพธิ์บัง
,วัดท่าสะอาด
,วัดอภิราษฎร์บำรุง
,วัดโนนศรีสะอาด
,วัดสว่าง
,วัดสันติธรรมวาส
,วัดห้วยปลาดุก
,วัดถ้ำโพธิสัตว์
,วัดศิริธัมมารัตนานุสรณ์
,วัดป่าบ้านห้วยโจด
,วัดวิเวกธรรมคุณ
,วัดป่าใต้
,วัดโพนสะอาด
,วัดผานกเค้า
,วัดศรีสุทธาพัฒนาราม
,วัดศรีประทุมทอง
,วัดถ้ำป่าสัก
,วัดโพนสว่างพัฒนาราม
,วัดราษฎร์อุปถัมภ์
,วัดศรีพิชัยมงคล
,วัดมหาธาตุ
,วัดสี่แยก
,วัดจอมศรี
,วัดสังคมวิทยาราม
,วัดโพนสัก
,วัดคลองทูล
,วัดศรีโพธิ์ชัย
,วัดป่านากระเซ็ง
,วัดโพนลาน
,วัดร่องป่าไผ่
,วัดถ้ำดอกบัว
,วัดศรีสมบูรณ์
,วัดป่าวิเวกเจริญธรรม
,วัดศรีมงคล
,วัดใหม่เจริญธรรม
,วัดโนนทราย
,วัดสิงห์ทอง
,วัดห้วยใคร่ศรัทธาธรรม
,วัดเวฬุวนาราม
,วัดอรัญญาวาส
,วัดโพนงาม
,วัดศรีอุทัย
,วัดศรีสมสนุก
,วัดถ้ำคูหาวารี
,วัดนาแกพัฒนาราม
,วัดศรีพัฒนาราม
,วัดศรีจอมแจ้ง
,วัดปรางค์สามยอด
,วัดป่าสามัคคีธรรม
,วัดศรีอุดมวงศ์
,วัดศรีพัฒนา
,วัดวินัยสังวร
,วัดอ้อมแก้ว
,วัดศรีสมชาติ
,วัดโนนโพนทอง
,วัดไชยทอง
,วัดศิริเทพ
,วัดศรีวังลาน
,วัดรัตนรังษี
,วัดป่าเทพอาทรนิมิต
,วัดท่าสำราญ
,วัดโพธิ์ศรีสมโพธิ
,วัดศรีกัมพล
,วัดศรีดวงประทีป
,วัดโพธิ์ตาก
,วัดถ้ำผายา
,วัดพรมดีสามัคคี
,วัดตาดข่าพัฒนาราม
,วัดป่าวิเวกธรรม
,วัดโคกสว่างพัฒนา 
,วัดโนนชัย
,วัดศรีแดนวงศ์
,วัดมณีชลขันธ์ 
,วัดโนนกกแก้ว 
,วัดกองแก้ว
,วัดถ้ำจตุบูรพันคูหา
,วัดไชยศรียาราม
,วัดป่าผาหวาย
,วัดศรีบุญเรือง
,วัดสระแก้ว 
,วัดผาแดงพัฒนา 
,วัดโนนสว่างพัฒนาราม
,วัดบุปผาราม
,วัดถ้ำผาหมากฮ่อ
,วัดชัยนาม
,วัดถาวรมงคล
,วัดโพธิ์ศรี
,วัดหนองแห้วพัฒนาราม
,วัดศรีเจริญธรรม
,วัดป่ามุจจรินทร์
,วัดสว่างวัฒนา 
,วัดใหม่ศรีชมภู
,วัดนาอีเลิศ
,วัดศรีสว่างวารี
,วัดเครือหงษ์ 
,วัดศรีสว่างมงคล
,วัดโคกสว่าง
,วัดท่าคก
,วัดดอนทอง
,วัดอินทร์แปลง
,วัดแสงจันทราราม
,วัดอุโมงมังคลาราม
,วัดศีรษะเกษ
,วัดศรีแก้ว
,วัดโพธิ์งาม
,วัดถ้ำผาแป่น 
,วัดโนนสวรรค์
,วัดบรรพตคีรี
,วัดศรีภูหลวง
,วัดโป่งกวาง
,วัดนาดอกไม้
,วัดสว่างโนนงาม
,วัดโพธิ์ชุม
,วัดป่าขอนแก่น
,วัดศรีพรหม
,วัดถ้ำผาฆ้อง
,วัดโพธิ์ชัยมงคล
,วัดศรีเจริญ
,วัดขามชุม 
,วัดเกาะแก้ว
,วัดศรีปทุมวนาราม
,วัดภูกรงไก่ธรรมราม
,วัดภูช้างน้อย
,วัดภูหินกอง
,วัดหินสอ
,วัดศรีภูกระดึงพัฒนาราม
,วัดประชาสรรค์
,วัดโนนสว่างสามัคคี 
,วัดน้ำค้อพัฒนาราม
,วัดจันทรังษี
,วัดประชาราษฎร์บำรุง
,วัดผาจอมนาง
,วัดศรีชมภู 
,วัดลาดปู่ทรงธรรม
,วัดบรรพตวนาราม
,วัดแหลมทองพัฒนา
,วัดสันติธรรมาราม
,วัดถ้ำผาสวรรค์
,วัดห้วยไคร้พัฒนาราม
,วัดคำมาประดิษฐ์
,วัดดอยวิเวกวนาราม
,วัดวังทรายทอง
,วัดนาคหงษา
,วัดภูตูมวนาราม
,วัดสระจันทร์
,วัดศิลาอาสน์
,วัดโนนราชน้อย
